         26684135 function calls (26579068 primitive calls) in 110.696 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   111639    0.053    0.000    0.053    0.000 {any}
      232    0.001    0.000    0.052    0.000 re.py:226(_compile)
        1    0.001    0.001    0.052    0.052 build_tools.py:18(<module>)
        1    0.000    0.000    0.051    0.051 platform_info.py:6(<module>)
       96    0.000    0.000    0.051    0.001 re.py:188(compile)
       99    0.001    0.000    0.051    0.001 sre_compile.py:493(compile)
     4928    0.032    0.000    0.050    0.000 ViewBox.py:925(itemBoundsChanged)
    10015    0.031    0.000    0.050    0.000 PlotCurveItem.py:240(setFillLevel)
        2    0.002    0.001    0.048    0.024 __init__.py:38(<module>)
       96    0.001    0.000    0.046    0.000 WidgetGroup.py:116(__init__)
    10015    0.035    0.000    0.046    0.000 PlotItem.py:1063(pointMode)
       96    0.046    0.000    0.046    0.000 {connectSlotsByName}
   145750    0.045    0.000    0.045    0.000 debug.py:425(finish)
        1    0.000    0.000    0.045    0.045 miobase.py:7(<module>)
    34642    0.045    0.000    0.045    0.000 {built-in method setRenderHint}
    10062    0.033    0.000    0.045    0.000 weakref.py:47(__init__)
    79646    0.044    0.000    0.044    0.000 {built-in method determinant}
       64    0.000    0.000    0.044    0.001 GraphicsView.py:178(setCentralItem)
       64    0.001    0.000    0.044    0.001 GraphicsView.py:181(setCentralWidget)
    30336    0.043    0.000    0.043    0.000 weakref.py:267(__init__)
    30336    0.029    0.000    0.042    0.000 weakref.py:262(__new__)
      256    0.002    0.000    0.042    0.000 AxisItem.py:156(setLabel)
    25117    0.042    0.000    0.042    0.000 PlotDataItem.py:638(viewRangeChanged)
       32    0.040    0.001    0.040    0.001 {built-in method setScene}
        1    0.001    0.001    0.040    0.040 core.py:1(<module>)
    80242    0.040    0.000    0.040    0.000 {built-in method m11}
     5279    0.031    0.000    0.039    0.000 ViewBoxMenu.py:114(viewStateChanged)
        1    0.002    0.002    0.038    0.038 __init__.py:542(<module>)
        1    0.000    0.000    0.036    0.036 basic.py:5(<module>)
        1    0.000    0.000    0.035    0.035 orthogonal.py:79(<module>)
        1    0.001    0.001    0.035    0.035 __init__.py:153(<module>)
     4992    0.024    0.000    0.035    0.000 AxisItem.py:213(_updateMaxTextSize)
     5279    0.009    0.000    0.035    0.000 PlotItem.py:497(viewStateChanged)
    12737    0.033    0.000    0.033    0.000 weakref.py:320(__setitem__)
    10045    0.033    0.000    0.033    0.000 {built-in method map}
     5008    0.027    0.000    0.032    0.000 planning.py:86(select)
        1    0.000    0.000    0.032    0.032 decomp_schur.py:1(<module>)
        4    0.000    0.000    0.032    0.008 getlimits.py:93(__new__)
        2    0.000    0.000    0.032    0.016 getlimits.py:126(_init)
        2    0.000    0.000    0.032    0.016 machar.py:97(__init__)
        2    0.012    0.006    0.032    0.016 machar.py:113(_do_init)
    12039    0.015    0.000    0.031    0.000 numeric.py:462(asanyarray)
    29568    0.030    0.000    0.030    0.000 {built-in method center}
    29952    0.030    0.000    0.030    0.000 weakref.py:48(remove)
